p.r,cv,cv.r,p.control,GDP.r,p.comp,cv.us,patent
60.83,0.014,0.6,0,4.9,0,2.36,1
50.63,0.07,1.1,0,6.56,0,6.27,1
31.71,18.66,6.6,1,6.56,0,282.76,0
38.76,3.42,10.4,1,8.23,1,32.9,0
15.22,0.42,6.7,1,9.3,1,6.32,1
96.58,0.05,2.2,0,10.3,0,2.33,1
48.01,2.21,11.3,0,13,0,19.6,0
51.14,0.77,3.9,0,13.2,0,19.7,1
35.1,2.2,13.3,0,20.7,0,16.52,0
70.74,0.5,8.9,0,21.5,0,5.58,1
48.07,1.56,14.1,0,22.4,1,11.09,0
46.13,0.21,22,0,24,0,0.96,1
63.83,10.48,21.6,0,25.2,1,50.17,0
69.68,7.77,27.6,0,34.7,0,28.16,0
48.24,3.83,40.6,1,36.1,1,9.42,0
70.42,3.27,21.3,0,37.7,0,15.33,0
65.95,0.44,33.8,0,39.6,0,1.3,0
73.58,0.57,38,0,42.5,0,1.49,1
57.25,2.36,47.8,1,49.6,1,4.94,0
53.98,8.08,50.7,1,50.1,1,15.93,0
69.01,12.02,45.9,1,53.8,0,26.14,0
69.68,9.01,54.2,0,55.9,0,16.63,0
71.19,9.96,38,1,63.9,1,26.21,1
81.88,28.58,54.7,1,68.4,0,52.24,0
139.53,1.24,35.2,0,69.6,0,3.52,0
137.29,1.54,24.1,0,75.2,0,6.4,1
101.73,3.49,76,1,77.7,0,4.59,1
91.56,25.14,101.8,1,81.9,0,24.7,1
100.27,0.1,60.5,1,82,0,0.17,1
157.56,0.7,29.5,0,82.4,0,2.35,1
152.52,24.29,83.9,0,83,0,28.95,1
100,100,100,0,100,1,100,1
