STATE,TAX,C2000,C2006
Alabama,0,25.3,23.2
Arizona,0,18.6,18.2
Alaska,0,25.0,24.0
Arkansas,0,25.2,23.7
Colorado,0,20.1,17.9
Connecticut,0,20.0,17.0
Delaware,0,23.0,21.7
Hawaii,0,19.7,17.5
Illinois,0,22.3,20.5
Indiana,0,27.0,24.1
Iowa,0,23.3,21.4
Kentucky,0,30.5,28.5
Louisiana,0,24.1,23.4
Maine,0,23.8,20.9
Maryland,0,20.6,17.7
Massachusetts,0,20.0,17.8
Michigan,0,24.2,22.4
Minnesota,0,19.8,18.3
Montana,0,18.9,18.9
Nebraska,0,21.4,18.7
New Hampshire,0,25.4,18.7
New Jersey,0,21.0,18.0
New York State,0,21.6,18.2
North Carolina,0,26.1,22.1
Ohio,0,26.3,22.4
Oklahoma,0,23.3,25.1
Oregon,0,20.8,18.5
Pennsylvania,0,24.3,21.5
Rhode Island,0,23.5,19.2
Tennessee,0,25.7,22.6
Texan,0,22.0,17.9
Utah,0,12.9,9.8
Virginia,0,21.5,19.3
Washington,0,20.7,17.1
Wisconsin,0,24.1,20.8
Washington DC,1,20.9,17.9
Georgia,1,23.6,19.9
Idaho,1,22.4,16.8
Kansas,1,21.1,20.0
Nevada,1,29.1,22.2
New Mexico,1,23.6,20.1
South Dakota,1,22.0,20.3
Vermont,1,21.5,18.0
West Virginia,1,26.1,25.7
Wyoming,1,23.8,21.6
